onset	duration	trial_type	category	response	response_time	onset_feedback	feedback_duration	object_classes
1.03805455721	3	000110	3	3	0.877486943175	5.7446245263	1.75	FS
9.8811751214	3	110000	1	1	1.21673676403	14.3352630013	1.75	FO
18.9544104069	3	000101	4	4	0.55017802542	23.8922220562	1.75	FO
28.0796763276	3	000110	3	3	0.683448035992	32.5169143006	1.75	FS
37.3377529826	3	101000	2	2	1.26670009736	41.5086744265	1.75	FS
45.8616229158	3	000110	3	3	0.833441401071	50.1504258223	1.75	FS
55.7043174482	3	110000	1	1	1.06682664976	60.4251339207	1.75	FO
64.3434363865	3	110000	1	1	0.766789913243	68.8306698198	1.75	FO
74.9593328202	3	101000	2	2	0.850111117476	79.3132481922	1.75	FS
84.0751981048	3	000110	3	3	0.816783138638	89.3289283973	1.75	FS
94.9579876772	3	110000	1	1	0.750125784143	100.844740603	1.75	FO
105.890276557	3	000110	3	3	1.10010099049	110.060725316	1.75	FS
114.106172712	3	110000	1	1	1.38341269631	118.260229443	1.75	FO
123.955499093	3	000110	3	3	0.85010106033	128.942817872	1.75	FS
132.77134552	3	000101	4	4	0.616806325945	139.675067921	1.75	FO
143.620898187	3	110000	1	1	0.766849697378	149.074931032	1.75	FO
153.054196832	3	101000	2	2	0.850169784149	159.175029508	1.75	FS
164.837356983	3	110000	1	1	0.733525070924	170.841556399	1.75	FO
175.820836168	3	000110	3	3	1.60013381589	180.225020219	1.75	FS
185.520686009	3	110000	1	1	1.43333915344	191.908333322	1.75	FO
198.270730219	3	000110	3	3	1.33335493757	203.676450219	1.75	FS
207.898716178	3	110000	1	1	1.70537847687	212.624648384	1.75	FO
216.670707869	3	000101	4	4	0.700176139706	221.824690289	1.75	FO
225.663863983	3	000110	3	3	0.916780205305	231.151306381	1.75	FS
235.070484657	3	000110	3	3	0.816837335471	239.841646075	1.75	FS
246.595608939	3	000110	3	3	0.900094565091	250.816117691	1.75	FS
255.120398263	3	110000	1	1	0.68351452489	260.591323758	1.75	FO
264.7109127	3	110000	1	1	0.983451807422	269.298369486	1.75	FO
275.570476974	3	000101	4	4	0.856333696043	280.880765852	1.75	FO
285.203781766	3	000110	3	3	1.288895097	289.463261113	1.75	FS
293.475492276	3	101000	2	2	1.05009742858	298.712432167	1.75	FS
303.12439514	3	110000	1	1	1.21675827514	309.161593163	1.75	FO
