onset	duration	obj_class	response	response_time	image
1.03905831607	2.47	f	2	2.41683761484	male_015.jpg
5.901760978	2.47	s	1	1.59964297138	grayavg_017.jpg
12.6764066383	2.47	s	1	1.03054019435	grayavg_060.jpg
18.0415963481	2.47	s	1	0.613950655739	grayavg_039.jpg
22.5960953138	2.47	f	2	1.06091360774	female_030.jpg
27.2463787995	2.47	o	3	1.24277359273	object_183.jpg
33.7270876606	2.47	f	2	0.760119233031	female_014.jpg
38.7667818117	2.47	f	2	0.588811985881	female_012.jpg
45.4911291798	2.47	f	2	0.574587831694	male_013.jpg
51.8836382836	2.47	s	1	1.15640926431	grayavg_002.jpg
57.5247066317	2.47	f	2	0.656978750092	female_026.jpg
62.5980098029	2.47	o	3	0.523895355415	object_107.jpg
68.9735860284	2.47	o	3	0.639418417704	object_226.jpg
73.7133624525	2.47	s	1	0.716500840191	grayavg_071.jpg
78.5300469752	2.47	o	3	0.581927032626	object_015.jpg
83.046421263	2.47	s	1	0.549746126952	grayavg_001.jpg
90.1136334367	2.47	s	1	0.998616304586	grayavg_004.jpg
95.2047813339	2.47	o	3	0.78315512167	object_019.jpg
100.90208141	2.47	s	1	0.661416744307	grayavg_124.jpg
105.628900321	2.47	s	1	0.798639212526	grayavg_027.jpg
110.644462914	2.47	o	3	0.681620150047	object_106.jpg
118.092359783	2.47	f	2	0.649847676171	male_007.jpg
124.258547665	2.47	f	2	0.616484776697	male_010.jpg
130.324818936	2.47	o	3	0.63312068992	object_094.jpg
134.935233668	2.47	o	3	0.599848584107	object_090.jpg
142.342666456	2.47	s	1	0.431888689764	grayavg_042.jpg
147.224114517	2.47	o	3	0.666522141781	object_124.jpg
152.45645075	2.47	o	3	0.599753041239	object_225.jpg
158.228826289	2.47	s	1	0.59986506665	grayavg_005.jpg
162.755786001	2.47	f	2	0.54985088887	male_025.jpg
168.841123104	2.47	s	1	0.449389517383	grayavg_037.jpg
174.346613047	2.47	f	2	0.548563574421	female_023.jpg
179.422938949	2.47	s	1	0.583168251831	grayavg_126.jpg
185.173291019	2.47	f	2	0.581826461184	female_008.jpg
190.575173102	2.47	s	1	0.615108624141	grayavg_006.jpg
195.272942511	2.47	o	3	0.8653303702	object_042.jpg
199.938495256	2.47	o	3	0.733202962946	object_169.jpg
205.032990226	2.47	f	2	0.632024740574	female_005.jpg
211.638401249	2.47	o	3	0.599877079349	object_031.jpg
217.22304399	2.47	o	3	0.682014613589	object_146.jpg
222.01447251	2.47	s	1	0.5662817481	grayavg_111.jpg
226.58828231	2.47	f	2	0.533245147079	female_009.jpg
231.582573763	2.47	o	3	0.631654861163	object_109.jpg
237.910536954	2.47	f	2	0.593136837223	male_026.jpg
243.672527933	2.47	o	3	0.766446852882	object_176.jpg
248.673869444	2.47	o	3	0.665189849547	object_108.jpg
253.240672488	2.47	s	1	0.541775281496	grayavg_113.jpg
258.931139572	2.47	o	3	0.640279979718	object_134.jpg
264.622664054	2.47	f	2	0.581922562784	male_017.jpg
269.756304782	2.47	f	2	0.490623249603	male_001.jpg
274.646229898	2.47	o	3	0.649823650771	object_185.jpg
280.04834972	2.47	s	1	0.64053895118	grayavg_095.jpg
287.054745505	2.47	f	2	0.590507452763	male_029.jpg
293.423052371	2.47	f	2	0.599834057122	male_028.jpg
297.979077788	2.47	s	1	0.566494903682	grayavg_070.jpg
305.112380484	2.47	s	1	0.549734393617	grayavg_036.jpg
309.678581496	2.47	f	2	0.581791540545	female_003.jpg
