onset	duration	trial_type	category	response	response_time	onset_feedback	feedback_duration	object_classes
1.03759667779	3	000110	3	1	1.03342715345	6.560377087	1.75	FS
11.5699185232	3	110000	1	2	0.950103434934	16.723246949	1.75	FO
21.0357707474	3	110000	1	1	1.45008346033	25.4231046125	1.75	FO
29.7519223812	3	110000	1	1	0.850100222233	34.255952642	1.75	FO
40.018280815	3	000110	3	3	0.800192203198	44.1891477827	1.75	FS
48.068472669	3	000110	3	3	0.766823437058	52.2726514124	1.75	FS
58.20282494	3	101000	2	2	1.53349015028	62.3889913383	1.75	FS
66.6848627409	3	000101	4	3	0.750174114306	71.1056215245	1.75	FO
75.4348616933	3	000101	4	2	0.650153301609	80.6886389192	1.75	FO
85.5017003558	3	000110	3	2	1.05017313653	91.688552316	1.75	FS
95.9514913208	3	110000	1	1	0.783499578858	100.355930432	1.75	FO
104.951452489	3	000110	3	3	0.833514036	109.705806464	1.75	FS
116.344878749	3	110000	1	1	1.783371909	123.398528305	1.75	FO
127.601607467	3	110000	1	1	0.833517947114	132.688922754	1.75	FO
138.909692712	3	101000	2	2	2.13333649947	145.846692527	1.75	FS
150.034595179	3	000110	3	3	0.98348114076	155.305653652	1.75	FS
161.791239669	3	000110	3	3	0.800107276205	167.261825176	1.75	FS
171.58455083	3	101000	2	1	1.62259113938	176.494061396	1.75	FS
180.673011793	3	110000	1	1	0.733457185201	186.560489392	1.75	FO
191.455665455	3	000110	3	3	0.716814567215	195.776279108	1.75	FS
202.271428631	3	000101	4	4	0.700123060335	207.825405184	1.75	FO
213.220569933	3	110000	1	2	1.25007982858	218.390497116	1.75	FO
222.569701177	3	110000	1	1	0.566805837054	227.073725851	1.75	FO
231.2356509	3	000110	3	3	0.750135841285	235.656194852	1.75	FS
239.801884597	3	110000	1	1	0.933440982022	244.205460471	1.75	FO
248.934324335	3	110000	1	1	0.783508239176	254.08878363	1.75	FO
258.900997194	3	000110	3	3	0.883358359792	263.07215945	1.75	FS
266.800983924	3	000110	3	3	0.833514874095	273.588490995	1.75	FS
277.450866521	3	110000	1	1	0.733517248704	282.25518327	1.75	FO
286.500892432	3	101000	2	2	0.650017530163	291.188790754	1.75	FS
295.317679482	3	000110	3	3	1.11682574182	299.772076898	1.75	FS
303.934239966	3	000101	4	4	0.700201841297	308.688583326	1.75	FO
