onset	duration	trial_type	category	response	response_time	onset_feedback	feedback_duration	object_classes
1.03769613177	3	000101	4	4	1.6501910159	6.6444430787	1.75	FO
10.4874423984	3	110000	1	2	1.20015728256	14.9080693217	1.75	FO
20.4873851286	3	110000	1	1	0.983512429651	26.2416904942	1.75	FO
31.7040581973	3	110000	1	1	0.950187244471	38.7083537153	1.75	FO
44.0873119349	3	000110	3	4	1.51684697357	48.3246432158	1.75	FS
53.1206360026	3	101000	2	1	1.25017760637	57.3245306317	1.75	FS
61.0718144345	3	000110	3	3	2.26684173547	65.2913238973	1.75	FS
70.4539616069	3	000110	3	3	1.38348253759	77.1749186	1.75	FS
82.8371924365	3	000110	3	3	1.35016461589	87.7082338677	1.75	FS
91.9134037985	3	101000	2	4	1.66672887197	96.58354288	1.75	FS
101.77054933	3	110000	1	1	2.85016950478	106.091306297	1.75	FO
111.728524994	3	110000	1	1	0.850095193666	116.682502106	1.75	FO
121.703867112	3	000101	4	4	1.01686862436	126.124893527	1.75	FO
129.677072086	3	000110	3	3	0.800116774619	135.531399661	1.75	FS
139.187265979	3	000110	3	3	0.989380493887	143.513573094	1.75	FS
149.709050173	3	110000	1	1	1.80003492064	154.612804141	1.75	FO
158.724706911	3	110000	1	1	1.04994210158	162.995301358	1.75	FO
168.057286331	3	000110	3	3	1.11674556403	173.544616704	1.75	FS
177.789879719	3	101000	2	2	0.950074101598	182.327425413	1.75	FS
187.955963956	3	110000	1	1	1.25006027302	193.126530327	1.75	FO
197.688408722	3	000101	4	4	0.850099104773	202.025540676	1.75	FO
207.155879867	3	110000	1	1	2.26664813545	212.27464133	1.75	FO
215.903491645	3	000110	3	NA	3	220.441058012	1.75	FS
226.320092079	3	000110	3	3	0.533513337588	232.507602782	1.75	FS
236.370273596	3	110000	1	1	0.850166431766	241.640919446	1.75	FO
246.73665396	3	101000	2	2	1.06669227514	251.507857284	1.75	FS
256.636695446	3	000110	3	2	1.23336708995	262.824018416	1.75	FS
266.68675516	3	000110	3	3	0.784382651982	271.607502909	1.75	FS
277.5032472	3	000110	3	3	1.1168235069	282.3743202	1.75	FS
286.970175539	3	110000	1	1	1.83348274711	291.557937671	1.75	FO
295.547162838	3	110000	1	1	2.07294418704	300.724415533	1.75	FO
305.263066954	3	000101	4	4	0.949951460312	310.267059082	1.75	FO
