onset	duration	obj_class	response	response_time	image
1.03903680496	2.47	f	2	0.959572515501	female_017.jpg
5.96609233855	2.47	s	1	0.891556329087	grayavg_120.jpg
11.8233878887	2.47	s	1	1.23316371215	grayavg_067.jpg
18.9236151522	2.47	s	1	0.874556123752	grayavg_095.jpg
23.4478041204	2.47	s	1	1.33295823911	grayavg_022.jpg
29.3821334834	2.47	f	2	0.856893543732	male_026.jpg
34.6405632559	2.47	o	3	1.28853443664	object_191.jpg
40.4288159529	2.47	f	2	0.983119083572	female_027.jpg
46.9641915383	2.47	f	2	0.931483470667	male_007.jpg
53.0941220183	2.47	o	3	0.83298575657	object_125.jpg
57.612303519	2.47	f	2	0.781483400824	female_015.jpg
62.7617663697	2.47	f	2	0.848348044237	male_004.jpg
67.6118104396	2.47	s	1	1.0331064423	grayavg_004.jpg
73.8289176418	2.47	f	2	0.798221561679	female_025.jpg
79.3585564646	2.47	o	3	1.06647576717	object_123.jpg
84.6414812497	2.47	f	2	0.74982798093	female_026.jpg
89.2078440137	2.47	o	3	0.799826793631	object_136.jpg
93.9099340838	2.47	s	1	0.748323041058	grayavg_034.jpg
100.741574418	2.47	s	1	1.0997925714	grayavg_036.jpg
105.206506972	2.47	f	2	0.966426459228	female_009.jpg
110.860112947	2.47	s	1	1.01350506838	grayavg_015.jpg
117.473122143	2.47	s	1	0.833154213735	grayavg_094.jpg
123.424194136	2.47	s	1	1.4649820019	grayavg_105.jpg
127.889845218	2.47	o	3	0.781717229424	object_042.jpg
134.206742198	2.47	f	2	0.831781692923	male_018.jpg
138.906623328	2.47	f	2	1.21538407814	female_028.jpg
144.906031912	2.47	s	1	1.19987959363	grayavg_122.jpg
151.207583645	2.47	s	1	1.09850665378	grayavg_092.jpg
157.456466394	2.47	f	2	1.04851203156	female_005.jpg
162.107083442	2.47	s	1	1.61540726545	grayavg_069.jpg
167.254758356	2.47	o	3	0.983241166126	object_209.jpg
171.724308257	2.47	s	1	0.765177697165	grayavg_106.jpg
176.538472627	2.47	f	2	0.883230969299	male_011.jpg
181.219339329	2.47	f	2	0.833325185187	male_015.jpg
187.923215101	2.47	o	3	1.06497976698	object_238.jpg
193.524620308	2.47	s	1	0.948177212467	grayavg_017.jpg
199.740071992	2.47	o	3	0.748247053747	object_153.jpg
205.889772862	2.47	s	1	0.733204918502	grayavg_026.jpg
210.321768549	2.47	o	3	1.43301983911	object_174.jpg
215.45640661	2.47	f	2	0.965024325717	female_004.jpg
220.991153066	2.47	s	1	1.35732641998	grayavg_108.jpg
225.947166749	2.47	o	3	1.01639398303	object_179.jpg
231.946882355	2.47	o	3	0.649844323791	object_062.jpg
238.414297907	2.47	s	1	0.641999472002	grayavg_037.jpg
244.323151685	2.47	o	3	0.689059643053	object_306.jpg
250.464223246	2.47	o	3	0.824773260287	object_044.jpg
255.006612572	2.47	f	2	1.00494336571	male_009.jpg
261.494527098	2.47	o	3	0.749846698393	object_031.jpg
266.42872935	2.47	o	3	0.748360196616	object_163.jpg
271.578485813	2.47	f	2	1.91487884633	male_003.jpg
277.609902655	2.47	f	2	0.633157286749	female_002.jpg
282.227262962	2.47	o	3	1.01508795112	object_131.jpg
287.527028994	2.47	o	3	0.648500298223	object_109.jpg
292.02789768	2.47	s	1	0.598447009324	grayavg_072.jpg
298.508100611	2.47	o	3	0.649780069813	object_107.jpg
304.092684964	2.47	f	2	0.764956439994	male_002.jpg
309.60804376	2.47	o	3	1.33309456928	object_146.jpg
