onset	duration	obj_class	response	response_time	image
1.03980897013	2.47	s	NA	3	grayavg_049.jpg
5.93949845581	2.47	o	3	1.1495030793	object_118.jpg
11.0053691181	2.47	f	2	0.58401919797	male_007.jpg
16.3244116221	2.47	f	2	0.697652355255	male_010.jpg
21.3564841342	2.47	o	3	0.915381144812	object_194.jpg
26.2566513342	2.47	o	3	1.3319268231	object_087.jpg
31.6900706654	2.47	f	2	0.715366897191	female_012.jpg
36.5064255373	2.47	f	2	0.865214433681	female_021.jpg
41.8716806186	2.47	f	2	0.849874774587	female_011.jpg
46.6051526102	2.47	o	3	1.43310923595	object_027.jpg
52.1223121933	2.47	f	2	0.766320859217	female_023.jpg
56.5581128328	2.47	s	1	1.76521038288	grayavg_126.jpg
61.9564081468	2.47	s	1	0.766508033845	grayavg_026.jpg
68.8083044074	2.47	s	1	1.11497383047	grayavg_011.jpg
74.6225271648	2.47	s	1	0.916582414804	grayavg_102.jpg
81.3725194124	2.47	s	1	0.733211343901	grayavg_019.jpg
87.2212552154	2.47	f	2	0.883219235962	female_024.jpg
91.7240054253	2.47	s	1	1.02443858088	grayavg_111.jpg
97.881608417	2.47	o	3	1.2893524177	object_017.jpg
104.030903648	2.47	f	2	0.633106162935	female_001.jpg
108.755806115	2.47	o	3	1.23997295746	object_159.jpg
114.113691824	2.47	f	2	0.681861800873	female_028.jpg
118.913065487	2.47	s	1	1.19978852061	grayavg_006.jpg
124.861462281	2.47	f	2	0.799860038078	female_030.jpg
129.39442946	2.47	o	3	1.13311328675	object_225.jpg
133.846676603	2.47	s	1	0.948371371225	grayavg_070.jpg
138.461368694	2.47	s	1	0.683131235954	grayavg_027.jpg
143.576507349	2.47	o	3	0.750695968341	object_044.jpg
150.342718418	2.47	o	3	0.699781955529	object_153.jpg
156.14355372	2.47	f	2	0.531952245328	male_016.jpg
161.426903978	2.47	o	3	0.681830511978	object_238.jpg
167.842548983	2.47	o	3	0.882586194617	object_058.jpg
173.158675195	2.47	s	1	2.38306572483	grayavg_105.jpg
179.891870335	2.47	o	3	0.981742651649	object_109.jpg
186.874642168	2.47	s	1	1.6997325079	grayavg_122.jpg
191.74263377	2.47	o	3	1.29743081872	object_179.jpg
196.973931044	2.47	s	1	0.816311849692	grayavg_001.jpg
202.156827474	2.47	o	3	0.698407479162	object_090.jpg
207.273561584	2.47	f	2	0.448254456922	male_022.jpg
212.573863159	2.47	s	1	1.01509018604	grayavg_103.jpg
219.271408517	2.47	f	2	0.716532408445	female_019.jpg
225.172576962	2.47	o	3	0.714965449522	object_150.jpg
230.405836496	2.47	o	3	0.698363618838	object_121.jpg
235.839126202	2.47	f	2	0.531946099294	male_030.jpg
240.672144365	2.47	s	1	0.583163223258	grayavg_120.jpg
245.305365067	2.47	f	2	0.516531849717	female_013.jpg
251.022102809	2.47	f	2	0.51516798923	male_029.jpg
257.288805141	2.47	f	2	0.531777083401	female_022.jpg
264.27389766	2.47	s	1	0.798525790291	grayavg_005.jpg
270.088494208	2.47	o	3	0.715189220977	object_163.jpg
276.423560536	2.47	s	1	0.631767165938	grayavg_095.jpg
283.322144295	2.47	s	1	0.666610979886	grayavg_037.jpg
288.288712113	2.47	o	3	0.965341684489	object_169.jpg
294.00534202	2.47	f	2	0.581787908799	female_029.jpg
298.871869469	2.47	o	3	0.698448545834	object_115.jpg
304.287091795	2.47	f	2	0.699914653957	female_026.jpg
309.440364907	2.47	s	1	1.04116417031	grayavg_104.jpg
