onset	duration	trial_type	category	response	response_time	onset_feedback	feedback_duration	object_classes
1.03756119842	3	101000	2	2	1.32216357107	5.5005197588	1.75	FS
9.9366128935	3	000110	3	2	1.6895077447	15.0132609033	1.75	FS
20.6592293155	3	000101	4	4	2.11684809103	26.1302942134	1.75	FO
31.3519500383	3	000110	3	3	1.70003757461	35.9055240261	1.75	FS
39.8092056393	3	110000	1	1	1.80017711748	46.5801756927	1.75	FO
50.7500159937	3	110000	1	1	2.11668047196	55.6871624746	1.75	FO
60.3604016712	3	000110	3	NA	3	65.3528090861	1.75	FS
70.6652988019	3	110000	1	1	1.15005342858	76.1023406606	1.75	FO
81.0142501351	3	000110	3	3	0.950105111126	85.5847550457	1.75	FS
90.4470601711	3	000110	3	3	1.6500588762	96.033861566	1.75	FS
100.346037276	3	110000	1	2	1.08342540742	106.282876734	1.75	FO
112.178485534	3	110000	1	1	1.60004609524	116.599156597	1.75	FO
121.244520742	3	000110	3	4	2.8999439873	125.781192302	1.75	FS
131.960382954	3	101000	2	1	1.66670344974	138.69695925	1.75	FS
142.526090048	3	000101	4	4	1.3333971217	147.546760552	1.75	FO
152.458938217	3	110000	1	NA	3	158.746015206	1.75	FO
163.658978446	3	000110	3	3	1.53350579473	168.363138332	1.75	FS
172.975458333	3	000101	4	4	1.25015916827	177.563005354	1.75	FO
183.84206652	3	110000	1	1	1.90018675558	189.713203773	1.75	FO
193.658684274	3	110000	1	2	1.116841945	199.929496905	1.75	FO
205.258669188	3	000110	3	3	1.616833145	211.42986888	1.75	FS
215.625314391	3	000110	3	3	2.80018214605	219.87956514	1.75	FS
223.793591085	3	110000	1	1	1.78351773759	228.029407089	1.75	FO
232.87525314	3	101000	2	2	1.6001497397	237.279429369	1.75	FS
242.767974142	3	110000	1	1	1.80002234921	247.055690318	1.75	FO
250.941908259	3	000101	4	4	1.86683503071	255.262738979	1.75	FO
259.166901659	3	110000	1	1	1.96668403387	263.820597031	1.75	FO
268.72533213	3	000110	3	3	2.20017572066	273.063123386	1.75	FS
278.531798036	3	000110	3	3	1.06675541165	283.036147332	1.75	FS
287.158487461	3	110000	1	1	1.90600481346	291.568475882	1.75	FO
295.997469511	3	000110	3	3	1.15007940953	300.584444112	1.75	FS
305.13077081	3	101000	2	2	0.950082761916	309.667119704	1.75	FS
