onset	duration	trial_type	category	response	response_time	onset_feedback	feedback_duration	object_classes
1.03798778895	3	000110	3	3	1.00016063494	5.67788000989	1.75	FS
9.383225801	3	110000	1	1	0.888001687365	15.7919118212	1.75	FO
21.904392318	3	000101	4	4	0.716830770391	26.8253579715	1.75	FO
32.5042853212	3	000110	3	3	0.866833913249	36.758627982	1.75	FS
40.8307195468	3	110000	1	1	1.35092672393	45.2683539388	1.75	FO
50.8375346587	3	101000	2	2	1.53350048679	57.4251668857	1.75	FS
62.0301714324	3	000110	3	3	1.01678006562	67.0493319682	1.75	FS
72.3208002693	3	110000	1	1	1.15016489526	77.2916627672	1.75	FO
81.9607039442	3	110000	1	1	1.33340885504	86.8146669479	1.75	FO
90.7041682672	3	000110	3	3	1.27264051716	96.230325921	1.75	FS
101.042714647	3	000101	4	4	0.833454810598	105.429617172	1.75	FO
109.175129521	3	110000	1	1	0.816794313244	115.595513117	1.75	FO
119.940986634	3	000110	3	3	0.950097288901	124.91160329	1.75	FS
130.423449349	3	110000	1	1	0.700138425414	135.694010831	1.75	FO
141.239207497	3	101000	2	2	1.15008695239	146.309812281	1.75	FS
150.055349213	3	000110	3	3	1.05007033017	154.259413976	1.75	FS
158.587988976	3	000110	3	3	1.75004532699	164.041607802	1.75	FS
167.887135935	3	110000	1	1	0.816830351343	173.141372158	1.75	FO
177.287064417	3	101000	2	2	1.16670275133	182.22459754	1.75	FS
188.703887505	3	000110	3	3	0.950161542878	193.524713616	1.75	FS
197.170312428	3	000101	4	4	0.883505585207	202.309605271	1.75	FO
206.086977535	3	110000	1	1	1.26683894182	210.707849461	1.75	FO
214.837161986	3	000110	3	3	1.53347702012	219.641127294	1.75	FS
223.670173444	3	110000	1	1	0.950184450817	228.257938369	1.75	FO
233.303508127	3	000110	3	3	1.2835016741	237.558064223	1.75	FS
242.936956513	3	000110	3	3	0.900163568275	247.324369438	1.75	FS
252.930233591	3	110000	1	1	0.850094634933	257.934151966	1.75	FO
261.620167368	3	110000	1	1	0.733511382033	266.391363427	1.75	FO
272.328637299	3	000101	4	NA	3	276.848866546	1.75	FO
281.070011412	3	000110	3	3	1.03350118521	287.191134627	1.75	FS
293.06057837	3	110000	1	1	0.766779018003	297.547850914	1.75	FO
301.420032714	3	101000	2	1	0.789816862199	307.296921257	1.75	FS
