onset	duration	trial_type	category	response	response_time	onset_feedback	feedback_duration	object_classes
1.05889072494	3	000110	3	NA	3	6.1286020989	1.75	FS
10.6599408584	3	000110	3	1	1.31673019895	15.1301151403	1.75	FS
20.4590963377	3	110000	1	1	2.03319639787	26.3297198387	1.75	FO
32.1415531862	3	000101	4	3	1.35026658416	38.1615272332	1.75	FO
42.1242009809	3	110000	1	3	2.13332839788	46.9274307209	1.75	FO
51.1899389448	3	110000	1	1	1.36674242117	55.4770779526	1.75	FO
59.4226961807	3	000110	3	2	2.48331729312	63.8445944946	1.75	FS
68.5385014017	3	101000	2	1	1.68322594073	72.7585712709	1.75	FS
77.8213580218	3	000110	3	3	1.90001746032	82.091707745	1.75	FS
86.9707052153	3	110000	1	1	1.63350593441	91.3419185958	1.75	FO
96.704033334	3	101000	2	2	2.10015909843	101.691724786	1.75	FS
105.637547789	3	110000	1	1	0.90016384764	110.508129944	1.75	FO
114.687399935	3	000101	4	4	1.25018403177	120.508132458	1.75	FO
126.553928781	3	110000	1	1	1.81683007198	131.975021965	1.75	FO
135.920609184	3	000110	3	1	2.65105788585	141.524593768	1.75	FS
145.520501628	3	000110	3	3	1.90018088891	150.325013095	1.75	FS
155.954090534	3	110000	1	1	0.900169714307	160.308032445	1.75	FO
165.237230151	3	000110	3	4	2.81683118944	169.607734782	1.75	FS
175.046574914	3	110000	1	1	0.783455439169	179.333814493	1.75	FO
184.003697956	3	000101	4	4	0.883521788383	190.325129311	1.75	FO
194.261752821	3	000110	3	3	1.56671029419	198.849124679	1.75	FS
203.786927948	3	110000	1	1	0.73352758521	208.307895557	1.75	FO
212.546218863	3	101000	2	2	1.20005475556	218.297392546	1.75	FS
222.753501912	3	000110	3	3	1.50592212139	227.879901496	1.75	FS
232.641913148	3	110000	1	1	0.816765818002	237.279420429	1.75	FO
242.524632879	3	101000	2	2	1.18339900742	248.744846901	1.75	FS
252.823969806	3	000110	3	3	1.58340319789	258.21085557	1.75	FS
264.189339148	3	000110	3	3	1.45008485715	269.643388196	1.75	FS
273.538639687	3	110000	1	1	0.76678264975	279.559320528	1.75	FO
283.921178809	3	000101	4	4	1.21675911324	288.191775212	1.75	FO
293.720659749	3	000110	3	3	1.43340228996	298.291036431	1.75	FS
303.603444572	3	110000	1	1	0.566867576745	309.341148666	1.75	FO
