onset	duration	obj_class	response	response_time	image
1.03882616366	2.47	f	2	0.79210430376	male_015.jpg
6.0307047404	2.47	f	2	0.533119991509	male_004.jpg
10.5482635363	2.47	s	1	0.691885979919	grayavg_092.jpg
15.4250308349	2.47	f	2	0.638398455671	female_023.jpg
20.4809295595	2.47	o	3	0.615028446355	object_185.jpg
25.5651000337	2.47	s	1	0.641710329106	grayavg_001.jpg
30.4570382549	2.47	o	3	0.721438897959	object_049.jpg
35.6297898197	2.47	f	2	0.615014757463	male_009.jpg
40.7958500312	2.47	s	1	0.949716234885	grayavg_103.jpg
47.2623394873	2.47	f	2	1.36497068762	female_004.jpg
54.4950447613	2.47	o	3	0.931629857983	object_169.jpg
60.6278395718	2.47	f	2	0.798457904566	male_029.jpg
67.6106644839	2.47	o	3	1.03167274053	object_225.jpg
72.2123068714	2.47	s	1	0.6993369269	grayavg_125.jpg
77.242711853	2.47	s	1	1.04981247617	grayavg_019.jpg
81.7409031036	2.47	o	3	1.09979005712	object_042.jpg
88.0253012604	2.47	o	3	0.898482628381	object_120.jpg
94.6732294188	2.47	f	2	0.749852285695	male_025.jpg
99.090956812	2.47	f	2	0.8817542453	male_005.jpg
103.90584781	2.47	f	2	1.1831012042	female_006.jpg
110.689939923	2.47	f	2	0.781812772293	male_006.jpg
116.189714335	2.47	o	3	1.03163726116	object_136.jpg
121.272682701	2.47	s	1	0.866572706869	grayavg_006.jpg
128.32170625	2.47	f	2	0.866573265597	female_011.jpg
134.306243112	2.47	s	1	0.916552243372	grayavg_060.jpg
138.838179713	2.47	f	2	0.783107070871	female_024.jpg
144.290913789	2.47	s	1	0.948357123598	grayavg_017.jpg
149.004993931	2.47	o	3	1.71658129734	object_176.jpg
153.372392022	2.47	s	1	0.699855428553	grayavg_022.jpg
158.171529063	2.47	o	3	0.716518160825	object_306.jpg
163.054806407	2.47	f	2	0.649856336488	male_011.jpg
169.288137459	2.47	f	2	0.716588840201	female_015.jpg
176.424708448	2.47	s	1	0.865089836836	grayavg_036.jpg
181.65792943	2.47	s	1	0.664933951102	grayavg_124.jpg
188.490943402	2.47	o	3	0.730348130837	object_107.jpg
194.439586875	2.47	o	3	1.1652198813	object_125.jpg
200.406544687	2.47	f	2	0.815207798754	female_005.jpg
205.706533093	2.47	s	1	0.666531360828	grayavg_120.jpg
210.423100422	2.47	o	3	0.825170796845	object_113.jpg
215.098731263	2.47	o	3	0.756295842071	object_209.jpg
220.722878466	2.47	s	1	0.874870409509	grayavg_004.jpg
225.182514537	2.47	s	1	0.773503615681	grayavg_013.jpg
229.823257984	2.47	f	2	0.689536519305	male_007.jpg
236.131320321	2.47	s	1	0.707850299408	grayavg_105.jpg
243.005248153	2.47	o	3	0.739805757436	object_004.jpg
248.245654406	2.47	s	1	0.899785866637	grayavg_057.jpg
252.961100643	2.47	s	1	1.21645488463	grayavg_072.jpg
257.443674266	2.47	o	3	0.933171674053	object_115.jpg
263.260055119	2.47	f	2	0.966433722722	male_012.jpg
269.876035083	2.47	o	3	1.25061676833	object_174.jpg
275.644195282	2.47	o	3	0.648380450588	object_238.jpg
282.326738175	2.47	f	2	1.56493800189	male_017.jpg
286.927519559	2.47	s	1	0.781784835781	grayavg_028.jpg
292.225586213	2.47	f	2	1.23311538198	male_022.jpg
298.391602005	2.47	s	1	0.449859130142	grayavg_034.jpg
302.990194564	2.47	o	3	0.766462497329	object_087.jpg
308.756307017	2.47	o	3	1.26648135447	object_146.jpg
