onset	duration	trial_type	category	response	response_time	onset_feedback	feedback_duration	object_classes
1.03794476672	3	101000	2	2	0.955623410238	5.94961873646	1.75	FS
10.371127336	3	110000	1	1	0.854867308553	15.096278717	1.75	FO
20.7417241577	3	110000	1	1	0.733443216945	26.7122056016	1.75	FO
31.6074802803	3	000101	4	4	1.200928889	36.1781528099	1.75	FO
41.4066810167	3	110000	1	1	0.800120126998	46.1606469537	1.75	FO
51.0727341045	3	000110	3	3	1.21675212911	55.4265810319	1.75	FS
61.7563145595	3	000110	3	3	0.999960330151	67.725386327	1.75	FS
71.5875833381	3	000110	3	3	1.3001160762	77.0250227333	1.75	FS
82.0042566863	3	000101	4	4	1.31686150056	87.2084840392	1.75	FO
91.1707736598	3	000110	3	3	1.71683943071	95.2749349428	1.75	FS
99.387655694	3	110000	1	1	1.28351228997	105.992203478	1.75	FO
110.320735457	3	101000	2	2	1.03350705187	114.308248953	1.75	FS
118.571030676	3	110000	1	NA	3	123.341370202	1.75	FO
127.670696974	3	000110	3	3	0.950178863513	131.491602704	1.75	FS
135.754203397	3	110000	1	1	0.850178444467	140.458320541	1.75	FO
145.520669526	3	000110	3	3	1.1835032106	149.608213893	1.75	FS
154.903897004	3	110000	1	1	1.01685521484	161.29160857	1.75	FO
166.030009959	3	000110	3	3	1.00009498414	170.26736331	1.75	FS
175.454004629	3	000110	3	3	1.10016021589	180.625037819	1.75	FS
184.478534004	3	101000	2	2	1.36673878943	188.649331409	1.75	FS
192.870491361	3	110000	1	1	0.700202958757	197.708120445	1.75	FO
201.612195684	3	000101	4	4	1.01677364023	207.547592501	1.75	FO
212.320383457	3	000110	3	3	1.22263863145	219.013553678	1.75	FS
224.691994094	3	110000	1	1	1.21675492276	231.045892984	1.75	FO
236.107699722	3	110000	1	1	0.633462353457	240.411599519	1.75	FO
244.507468128	3	000101	4	4	1.26674535451	248.710994833	1.75	FO
253.606312255	3	000110	3	3	2.23333747725	257.99437191	1.75	FS
264.038846557	3	000110	3	3	0.833458162979	268.176546461	1.75	FS
272.004987226	3	110000	1	1	0.95009617144	277.675712975	1.75	FO
281.637669592	3	110000	1	1	0.916811214833	287.574916644	1.75	FO
293.520205501	3	101000	2	2	0.800185777804	299.074652225	1.75	FS
303.870074549	3	000110	3	3	1.7501989778	308.857867969	1.75	FS
