onset	duration	obj_class	response	response_time	image
1.03918011926	2.47	s	1	1.16674800848	grayavg_107.jpg
6.6915783989	2.47	s	1	0.547567358422	grayavg_106.jpg
11.8394335034	2.47	f	2	0.464919982845	male_027.jpg
16.5551057467	2.47	s	1	0.549831333312	grayavg_024.jpg
21.2397092368	2.47	s	1	0.648275409305	grayavg_057.jpg
27.4551542165	2.47	f	2	0.515818351218	male_009.jpg
32.1364522586	2.47	o	3	0.716539671943	object_136.jpg
39.5382625445	2.47	f	2	0.498258856922	male_017.jpg
44.0558917404	2.47	s	1	0.548368856937	grayavg_063.jpg
49.0708930884	2.47	s	1	0.466437494153	grayavg_125.jpg
53.6197840787	2.47	o	3	0.933236486762	object_049.jpg
58.236576157	2.47	o	3	0.549767358702	object_169.jpg
63.3559547373	2.47	s	1	0.531641311954	grayavg_111.jpg
68.9888765192	2.47	s	1	0.548373326779	grayavg_010.jpg
73.6693037802	2.47	f	2	0.549910114274	male_018.jpg
80.4193183771	2.47	o	3	0.533250455013	object_001.jpg
85.1374875857	2.47	f	2	0.515216598757	male_026.jpg
89.7025948829	2.47	o	3	0.666564325915	object_019.jpg
96.53742389	2.47	s	1	0.533233972477	grayavg_011.jpg
102.504239785	2.47	f	2	0.465028655879	male_016.jpg
107.620823038	2.47	o	3	0.565190827325	object_191.jpg
113.952570229	2.47	o	3	0.533212740727	object_159.jpg
120.270140479	2.47	s	1	0.43320142644	grayavg_013.jpg
126.487075313	2.47	s	1	0.499801790451	grayavg_092.jpg
131.203914743	2.47	f	2	0.581860823095	male_006.jpg
138.587457344	2.47	f	2	0.539793186006	female_014.jpg
143.561734243	2.47	o	3	0.631850975475	object_062.jpg
148.161416046	2.47	f	2	0.465076706674	male_004.jpg
152.994712177	2.47	f	2	0.465109951125	female_021.jpg
157.877079908	2.47	s	1	0.59969800631	grayavg_026.jpg
163.010105474	2.47	s	1	0.549658965036	grayavg_123.jpg
168.158720173	2.47	f	2	0.466326306836	male_025.jpg
173.194268545	2.47	s	1	0.54818224104	grayavg_122.jpg
179.225627279	2.47	f	2	0.548327790264	female_005.jpg
184.975939121	2.47	f	2	0.514793639974	female_011.jpg
191.706645677	2.47	o	3	0.932979750221	object_115.jpg
196.455983652	2.47	f	2	0.499853752361	male_002.jpg
202.008670376	2.47	s	1	0.548207383901	grayavg_049.jpg
207.089655249	2.47	s	1	0.499840901568	grayavg_028.jpg
211.641336539	2.47	s	1	0.498210247391	grayavg_039.jpg
218.922355495	2.47	s	1	0.36633315128	grayavg_100.jpg
225.340093224	2.47	f	1	0.398146133099	female_012.jpg
229.789554259	2.47	o	3	0.663578750929	object_176.jpg
236.019518123	2.47	f	2	0.499877498398	female_019.jpg
241.420272968	2.47	o	3	0.599695212659	object_163.jpg
246.604141588	2.47	o	3	0.598215415645	object_107.jpg
251.052472311	2.47	o	3	0.516541348134	object_116.jpg
258.135891293	2.47	o	3	0.583202893107	object_027.jpg
263.33739316	2.47	o	3	0.565017341589	object_306.jpg
269.270789723	2.47	f	2	0.514983608253	male_014.jpg
273.803959721	2.47	o	3	0.515078871755	object_087.jpg
279.102230032	2.47	o	3	0.583199261357	object_134.jpg
283.969095514	2.47	f	2	0.533204359774	female_013.jpg
291.303435213	2.47	s	1	0.566530103686	grayavg_074.jpg
296.820433323	2.47	o	3	0.615014478099	object_015.jpg
302.802645588	2.47	f	2	0.533213020091	female_004.jpg
307.603263264	2.47	o	3	0.599725663458	object_226.jpg
