onset	duration	trial_type	category	response	response_time	onset_feedback	feedback_duration	object_classes
1.03795175085	3	110000	1	1	1.26684704341	6.9781293433	1.75	FO
12.665674548	3	000101	4	4	1.78887596049	18.4252409175	1.75	FO
23.7710220154	3	110000	1	1	1.03349950902	29.342022799	1.75	FO
33.330736169	3	000110	3	3	0.583466334409	39.2181299579	1.75	FS
43.6878826778	3	110000	1	1	0.733489312188	49.0920482911	1.75	FO
53.0458111296	3	000110	3	3	0.667721176855	57.6342163599	1.75	FS
63.3542229529	3	000110	3	3	1.0501901778	67.1083277344	1.75	FS
71.9609274363	3	101000	2	2	2.54995648888	76.4313271659	1.75	FS
80.4708631963	3	000110	3	3	0.756156438878	84.8476205775	1.75	FS
89.4928464372	3	101000	2	2	0.716800040229	93.6800434133	1.75	FS
97.475763819	3	000110	3	3	0.816785932291	101.946060742	1.75	FS
106.791490818	3	000110	3	3	0.666803183087	112.86207437	1.75	FS
117.374010384	3	110000	1	1	0.750169923831	122.161421913	1.75	FO
127.689833205	3	110000	1	1	0.666799551338	133.060537582	1.75	FO
136.772470803	3	000101	4	4	1.26673809101	141.926263254	1.75	FO
146.388503567	3	110000	1	1	0.733452156628	151.292158082	1.75	FO
156.787618538	3	101000	2	2	0.966611957665	160.691674501	1.75	FS
164.620593958	3	000110	3	3	0.683509216953	169.224786949	1.75	FS
174.753870115	3	000110	3	3	0.700169714306	179.724863635	1.75	FS
184.787357332	3	110000	1	1	0.733498531237	189.125113387	1.75	FO
192.637366202	3	110000	1	1	0.650189898437	198.610225043	1.75	FO
204.037076221	3	000101	4	4	1.13353177569	208.491579796	1.75	FO
214.220626923	3	000110	3	3	0.733503839176	220.174646778	1.75	FS
226.37037305	3	110000	1	1	0.683518156638	230.474798892	1.75	FO
234.570335336	3	110000	1	1	0.833502861398	240.991834158	1.75	FO
247.097011771	3	110000	1	1	0.650142406368	252.700730679	1.75	FO
256.536959865	3	000110	3	3	0.766847462457	262.941172691	1.75	FS
266.895324406	3	110000	1	1	0.750133606367	272.249402648	1.75	FO
278.070265634	3	000101	4	4	0.701030996957	282.074950029	1.75	FO
287.760385747	3	000110	3	3	0.800084926994	293.464267945	1.75	FS
296.987049751	3	101000	2	2	1.55610615316	301.563885913	1.75	FS
305.786850005	3	000110	3	3	0.688843135091	309.679680797	1.75	FS
