onset	duration	obj_class	response	response_time	image
1.04024226543	2.47	s	1	0.617700573677	grayavg_001.jpg
6.6083228455	2.47	s	1	0.515058757468	grayavg_042.jpg
11.5736595014	2.47	s	1	0.466459563995	grayavg_062.jpg
16.1308825563	2.47	s	1	0.54670160593	grayavg_122.jpg
21.75858049	2.47	s	1	0.564904198718	grayavg_028.jpg
27.640788983	2.47	o	3	0.698333168042	object_179.jpg
32.1552627499	2.47	f	2	0.61656411639	male_014.jpg
38.3233056157	2.47	o	3	0.581708289741	object_163.jpg
44.1725805933	2.47	f	2	0.583179426436	female_006.jpg
48.6721345869	2.47	o	3	0.799874006334	object_124.jpg
53.2082532836	2.47	s	1	0.648401961702	grayavg_027.jpg
57.9221487647	2.47	f	2	0.583301788356	male_009.jpg
63.189999567	2.47	s	1	0.683437699483	grayavg_015.jpg
68.7065495754	2.47	f	2	0.649873936492	male_024.jpg
74.2735406316	2.47	f	2	0.564891627288	male_027.jpg
78.8716239075	2.47	o	3	0.849873657127	object_001.jpg
84.0735772284	2.47	f	2	0.573304987085	female_001.jpg
89.6295822514	2.47	o	3	0.749820717438	object_153.jpg
96.545635269	2.47	o	3	0.649838736488	object_044.jpg
101.145136323	2.47	o	3	0.71650028146	object_058.jpg
107.530569667	2.47	s	1	0.648457834724	grayavg_039.jpg
112.327524029	2.47	o	3	0.683191299451	object_159.jpg
117.594058183	2.47	f	2	0.666491132253	female_015.jpg
122.444672996	2.47	s	1	1.38310567405	grayavg_069.jpg
127.661407525	2.47	s	1	0.599809193625	grayavg_111.jpg
133.510401182	2.47	s	1	0.46652158305	grayavg_106.jpg
139.476662537	2.47	s	1	0.71652765924	grayavg_004.jpg
145.392366628	2.47	f	2	0.549879942842	female_027.jpg
150.558346941	2.47	f	2	0.516479887807	male_002.jpg
155.991385218	2.47	o	3	0.699846768235	object_238.jpg
162.224971051	2.47	o	3	0.648527676003	object_183.jpg
168.875659616	2.47	s	1	1.36498242095	grayavg_105.jpg
176.108051722	2.47	o	3	0.714988916188	object_118.jpg
181.208525944	2.47	s	1	0.781701584978	grayavg_005.jpg
186.238881757	2.47	o	3	0.699739492029	object_095.jpg
190.921616574	2.47	f	2	0.699902920624	female_007.jpg
196.356539728	2.47	o	3	0.798577472835	object_102.jpg
202.272136542	2.47	f	2	0.599935466658	female_004.jpg
209.571932746	2.47	f	2	0.549858431728	female_021.jpg
214.656344033	2.47	s	1	0.599717841234	grayavg_100.jpg
219.10643755	2.47	s	1	0.58390773129	grayavg_049.jpg
225.690064519	2.47	o	3	0.64827736486	object_209.jpg
232.923406187	2.47	f	2	0.63174593419	female_002.jpg
238.123298632	2.47	f	2	0.715059316199	female_024.jpg
243.08981784	2.47	o	3	0.715084459058	object_115.jpg
247.823199597	2.47	f	2	0.531796359593	female_011.jpg
252.604859556	2.47	o	3	0.683024797845	object_150.jpg
258.221610288	2.47	o	3	0.800521015939	object_019.jpg
263.954997632	2.47	f	2	0.549712044407	female_019.jpg
271.089928748	2.47	f	2	0.931513921461	female_012.jpg
277.557672274	2.47	s	1	0.591639719574	grayavg_024.jpg
282.865888262	2.47	s	1	0.523384117254	grayavg_003.jpg
287.389546437	2.47	s	1	0.499716025361	grayavg_070.jpg
292.139913034	2.47	f	2	0.640472462283	female_018.jpg
296.731510569	2.47	f	2	0.639792766959	female_009.jpg
302.172749609	2.47	o	3	0.68979996061	object_015.jpg
308.197288203	2.47	o	3	0.707150769162	object_121.jpg
