onset	duration	trial_type	category	response	response_time	onset_feedback	feedback_duration	object_classes
1.03766735716	3	101000	2	3	1.61671525292	5.77668418752	1.75	FS
10.1033731941	3	110000	1	1	1.08343211218	14.8071592898	1.75	FO
18.7693061548	3	000110	3	3	1.01676693546	23.0899575225	1.75	FS
27.9352012616	3	110000	1	1	1.63337463281	33.4557716134	1.75	FO
37.4845688488	3	110000	1	1	1.98334034074	43.2717225234	1.75	FO
47.7003376127	3	000110	3	3	1.13349769314	52.9879451159	1.75	FS
57.5515245653	3	000101	4	4	1.16683153865	62.6210848027	1.75	FO
66.8169060593	3	000110	3	3	2.55015930796	72.7377750524	1.75	FS
76.8502337588	3	000101	4	4	0.967727741934	81.0880095096	1.75	FO
86.2168923704	3	110000	1	1	0.866836148169	91.3379812239	1.75	FO
95.9838490646	3	000110	3	3	1.80016063494	100.48800057	1.75	FS
104.983598474	3	101000	2	2	1.18347639155	109.854685162	1.75	FS
115.683526817	3	000110	3	3	1.31682657991	121.22113425	1.75	FS
125.366803602	3	000110	3	3	1.3335164106	131.271058752	1.75	FS
135.643462507	3	110000	1	1	1.50005210159	140.947175968	1.75	FO
145.233508449	3	110000	1	1	1.08348575028	149.637585503	1.75	FO
154.608396877	3	110000	1	1	1.08342065821	161.012141208	1.75	FO
165.316779647	3	110000	1	1	1.15014478097	169.787504837	1.75	FO
174.140175078	3	000110	3	3	0.96678041483	179.244181314	1.75	FS
184.833231319	3	101000	2	2	1.53946130025	190.743239993	1.75	FS
196.021716727	3	110000	1	1	0.800125434936	200.960729366	1.75	FO
206.583134169	3	000110	3	3	1.2711699392	210.724720321	1.75	FS
214.903549473	3	000101	4	4	1.36672007196	219.674132886	1.75	FO
226.219308879	3	000110	3	3	1.21675855451	230.990137294	1.75	FS
234.918708663	3	110000	1	1	1.5166977926	239.37245879	1.75	FO
243.818136663	3	000110	3	3	0.783446499487	248.172036111	1.75	FS
253.283933573	3	101000	2	2	0.966763373557	257.770994358	1.75	FS
261.966433443	3	110000	1	1	1.366743818	266.804214781	1.75	FO
273.016302072	3	000101	4	4	1.03350816933	278.887219465	1.75	FO
282.933140385	3	000110	3	3	1.10016552383	287.970743209	1.75	FS
292.716450275	3	000110	3	3	1.66685039579	297.887229522	1.75	FS
303.866253113	3	110000	1	1	1.15017215875	308.837751725	1.75	FO
