onset	duration	trial_type	category	response	response_time	onset_feedback	feedback_duration	object_classes
1.03771820162	3	110000	1	3	2.04985940951	7.1766989939	1.75	FO
10.7700551327	3	000101	4	2	2.08332902645	15.4733878188	1.75	FO
20.0691920342	3	110000	1	1	1.38339369948	24.2732207585	1.75	FO
29.6354528299	3	000110	3	3	1.70015826034	35.339737313	1.75	FS
39.835389414	3	000110	3	3	1.20019332066	44.8063661722	1.75	FS
48.8355601061	3	000110	3	3	1.01684543706	53.189636113	1.75	FS
58.8532050861	3	110000	1	1	0.800183822245	64.2394293129	1.75	FO
69.418602923	3	101000	2	3	2.03348721695	74.4394086399	1.75	FS
78.7686334436	3	000110	3	1	2.01684655452	82.8555919817	1.75	FS
88.9855118458	3	110000	1	1	1.11684864976	93.5393679923	1.75	FO
98.951913162	3	000101	4	4	0.833504537588	104.306099239	1.75	FO
107.88518457	3	000110	3	3	1.11684138627	112.606241575	1.75	FS
118.044686126	3	101000	2	2	1.20007933969	122.681908734	1.75	FS
128.901996762	3	110000	1	1	1.1501878032	133.139284183	1.75	FO
138.093205701	3	110000	1	1	0.800095822234	145.130126315	1.75	FO
149.73505683	3	000110	3	3	1.41682169102	154.956127664	1.75	FS
158.658155157	3	110000	1	1	0.833431343928	162.978781381	1.75	FO
167.001861689	3	000101	4	4	0.92255468223	172.644819104	1.75	FO
176.62339599	3	110000	1	1	0.816766656098	182.077325191	1.75	FO
186.039904792	3	000110	3	3	1.25006250794	190.376578029	1.75	FS
196.838530037	3	101000	2	2	0.683456975677	201.342309707	1.75	FS
205.287696062	3	000110	3	3	1.11675282752	212.008094045	1.75	FS
217.936684411	3	110000	1	1	0.833415140752	224.740738278	1.75	FO
229.319088041	3	000110	3	3	0.833443915359	234.939535053	1.75	FS
239.035215928	3	110000	1	1	0.851010952509	244.572247311	1.75	FO
248.701400318	3	110000	1	1	0.716843900552	253.238969199	1.75	FO
258.434683458	3	000110	3	3	0.716835240233	262.522440701	1.75	FS
266.851325797	3	101000	2	2	0.916849208489	271.788895237	1.75	FS
275.368219704	3	000110	3	3	0.81682252912	279.472257787	1.75	FS
284.1013288	3	110000	1	1	0.700183961928	289.089900811	1.75	FO
293.101391378	3	000110	3	3	0.666821062454	297.92244573	1.75	FS
303.717935659	3	000101	4	4	0.666833913249	307.93914478	1.75	FO
