onset	duration	obj_class	response	response_time	image
1.0389099732	2.47	f	2	0.572731450506	male_002.jpg
6.4447771993	2.47	f	2	0.532935331166	female_005.jpg
11.4108150617	2.47	f	2	0.599752203144	male_017.jpg
18.5269178066	2.47	f	2	0.599830146009	male_006.jpg
25.5468871044	2.47	o	3	0.58316545818	object_062.jpg
31.2010431493	2.47	s	1	0.696240723332	grayavg_001.jpg
36.0128228588	2.47	f	2	0.531830442137	male_005.jpg
40.6768276415	2.47	s	1	0.731827369121	grayavg_095.jpg
46.9746328095	2.47	f	2	0.499776926956	male_015.jpg
53.4096093219	2.47	o	3	0.547433821896	object_219.jpg
57.9082495122	2.47	s	1	0.71612285919	grayavg_020.jpg
63.2649054559	2.47	s	1	0.631803204039	grayavg_060.jpg
67.8742588793	2.47	o	3	0.648569301406	object_153.jpg
73.1019755304	2.47	s	1	0.533986582093	grayavg_025.jpg
78.1724705235	2.47	s	1	0.499887555541	grayavg_128.jpg
84.2058859436	2.47	o	3	0.565369341634	object_113.jpg
90.9791590831	2.47	o	3	0.733236207395	object_121.jpg
95.8057180452	2.47	s	1	0.599898311099	grayavg_039.jpg
100.588098767	2.47	f	2	0.749873238079	female_008.jpg
107.990302119	2.47	s	1	0.798730285554	grayavg_017.jpg
113.592771148	2.47	o	3	0.883169788339	object_176.jpg
119.504702134	2.47	f	2	0.466560414801	female_018.jpg
124.65597974	2.47	f	2	0.565391411478	female_015.jpg
129.155990217	2.47	f	2	0.598652901416	male_008.jpg
134.322715317	2.47	s	1	0.799892165066	grayavg_028.jpg
141.006068369	2.47	f	2	0.515170503513	male_003.jpg
147.554850407	2.47	s	1	0.516573475121	grayavg_072.jpg
152.646227942	2.47	o	3	0.643952792883	object_174.jpg
157.205921702	2.47	o	3	0.715155417797	object_115.jpg
163.654651359	2.47	f	2	0.53321357882	male_030.jpg
168.936986405	2.47	s	1	0.465321709882	grayavg_062.jpg
173.454648566	2.47	f	2	0.416361576681	female_016.jpg
178.424614581	2.47	s	1	0.54063128135	grayavg_103.jpg
185.665902789	2.47	f	2	0.623235914062	female_023.jpg
190.522433158	2.47	o	3	0.623279774385	object_193.jpg
196.999350197	2.47	o	3	0.624196371326	object_001.jpg
202.371612873	2.47	f	2	1.19001856381	male_029.jpg
207.01493011	2.47	s	1	0.675255933365	grayavg_122.jpg
212.704560216	2.47	o	3	0.607080508836	object_152.jpg
217.428499153	2.47	o	3	0.798593117282	object_087.jpg
222.92515166	2.47	s	1	0.614956649519	grayavg_100.jpg
228.521971647	2.47	o	3	0.73307808674	object_169.jpg
233.560811779	2.47	f	2	1.43169006117	male_024.jpg
238.726799635	2.47	o	3	0.648533542671	object_185.jpg
243.841996399	2.47	f	2	0.616379176683	female_026.jpg
249.058170522	2.47	o	3	0.649736209491	object_238.jpg
255.973988035	2.47	o	3	0.583157356591	object_017.jpg
261.224850365	2.47	s	1	0.74964499678	grayavg_010.jpg
266.440948221	2.47	s	1	0.549873796809	grayavg_063.jpg
271.225484245	2.47	s	1	0.965084668583	grayavg_070.jpg
275.739453478	2.47	o	3	0.749650584083	object_306.jpg
281.173014447	2.47	s	1	0.983115172459	grayavg_067.jpg
287.253736997	2.47	f	2	0.466484706855	female_021.jpg
293.082234474	2.47	o	3	0.581721140537	object_044.jpg
298.054434851	2.47	o	3	0.899806819023	object_191.jpg
304.187765764	2.47	f	2	0.633146670875	female_030.jpg
309.432007141	2.47	s	1	0.781944073898	grayavg_124.jpg
