onset	duration	obj_class	response	response_time	image
1.03883398588	2.47	f	2	1.25017620955	male_014.jpg
5.80583286423	2.47	o	3	0.966281748098	object_109.jpg
10.4405632559	2.47	o	3	0.898611695062	object_118.jpg
16.4239549999	2.47	f	2	0.79855205061	male_024.jpg
22.5082380582	2.47	s	1	0.898589066488	grayavg_126.jpg
27.540455002	2.47	f	2	0.731713108789	female_029.jpg
32.8732794252	2.47	o	3	0.682050092959	object_150.jpg
38.1735678697	2.47	o	3	0.965226865426	object_027.jpg
43.2059946166	2.47	f	2	0.699709599963	female_009.jpg
49.8909948052	2.47	s	1	0.932009515176	grayavg_105.jpg
55.8902880115	2.47	f	2	0.815082363819	male_010.jpg
60.5055622991	2.47	o	3	0.783207921679	object_193.jpg
67.7734111458	2.47	f	2	0.931944423104	female_005.jpg
74.024559546	2.47	f	2	0.974232199902	female_014.jpg
79.4474599425	2.47	f	2	0.833160359765	male_017.jpg
85.9154847893	2.47	s	1	1.04024980829	grayavg_020.jpg
91.6911928751	2.47	s	1	0.88977425902	grayavg_019.jpg
96.896062488	2.47	o	3	0.933154632781	object_179.jpg
101.745184933	2.47	o	3	0.816490084633	object_152.jpg
108.714263684	2.47	s	1	0.615149690813	grayavg_011.jpg
114.028866797	2.47	o	3	0.96526430035	object_163.jpg
118.577220848	2.47	o	3	1.01650125924	object_185.jpg
123.546006546	2.47	s	1	1.3650997543	grayavg_013.jpg
129.159763322	2.47	o	3	1.09979564442	object_159.jpg
133.961087513	2.47	f	2	0.698627060143	male_030.jpg
138.809158985	2.47	f	2	0.616478630664	male_025.jpg
144.543352018	2.47	o	3	1.19843639345	object_121.jpg
151.827721121	2.47	s	1	0.581805788166	grayavg_092.jpg
157.042391421	2.47	s	1	0.799468926916	grayavg_123.jpg
162.292032647	2.47	s	1	0.766261913175	grayavg_025.jpg
166.841366151	2.47	s	1	0.783143947066	grayavg_026.jpg
171.45801715	2.47	o	3	0.731809489753	object_015.jpg
178.307925728	2.47	o	3	0.848346088678	object_095.jpg
183.973335997	2.47	s	1	0.633167902624	grayavg_108.jpg
190.490489992	2.47	s	1	0.6985088887	grayavg_107.jpg
196.342261936	2.47	s	1	1.19696693295	grayavg_071.jpg
201.021366123	2.47	f	2	0.733241515332	female_023.jpg
207.622080181	2.47	f	2	0.833026264512	male_001.jpg
213.789712938	2.47	f	2	0.648432971229	male_013.jpg
219.771499171	2.47	o	3	0.899690882501	object_174.jpg
224.35628774	2.47	o	3	1.28171876593	object_146.jpg
230.438182227	2.47	o	3	0.983036950227	object_106.jpg
235.790979859	2.47	s	1	1.04837709821	grayavg_125.jpg
240.507426503	2.47	s	1	1.16513970351	grayavg_039.jpg
245.489479808	2.47	o	3	1.18182785801	object_176.jpg
250.03819843	2.47	f	2	0.933109096268	male_002.jpg
254.621302987	2.47	o	3	1.09978866029	object_131.jpg
260.29056151	2.47	s	1	0.732023483431	grayavg_062.jpg
265.771349152	2.47	f	2	0.683212251837	male_026.jpg
272.589521294	2.47	f	2	0.815107786046	female_008.jpg
277.640383065	2.47	o	3	1.24854164426	object_194.jpg
283.506007607	2.47	s	1	0.866485824316	grayavg_036.jpg
288.339478342	2.47	f	2	0.765148643193	male_004.jpg
294.67426726	2.47	s	1	0.857576591437	grayavg_057.jpg
299.36495225	2.47	f	2	1.473005368	female_007.jpg
304.888990361	2.47	s	1	0.757882077191	grayavg_128.jpg
309.945907092	2.47	f	2	1.24970184758	male_012.jpg
