onset	duration	trial_type	category	response	response_time	onset_feedback	feedback_duration	object_classes
1.03759081112	3	000110	3	1	1.10007752382	6.5098759759	1.75	FS
11.40358621	3	000101	4	3	1.18351773759	15.5239760919	1.75	FO
20.7534904576	3	110000	1	2	1.36683461166	26.4576170994	1.75	FO
31.953499956	3	110000	1	1	1.66767619907	36.6244790888	1.75	FO
40.8868562904	3	110000	1	1	1.50015742224	45.4911529259	1.75	FO
49.9867600491	3	000110	3	2	1.98349902013	55.5906711607	1.75	FS
59.8880505763	3	101000	2	3	1.48349217568	64.6573776835	1.75	FS
70.0533687941	3	000110	3	3	1.60015365081	76.0409990655	1.75	FS
82.7366601062	3	110000	1	1	1.15016573336	86.9907770401	1.75	FO
92.2868657888	3	000110	3	3	1.71683188785	97.290750081	1.75	FS
101.996039999	3	101000	2	2	1.78335207408	105.966569774	1.75	FS
111.170041444	3	000101	4	3	1.91683803388	116.340593846	1.75	FO
121.711119151	3	110000	1	1	0.850110558744	126.698322832	1.75	FO
130.570086422	3	110000	1	1	0.900164685734	134.440740094	1.75	FO
138.576552327	3	000110	3	3	1.5500548254	142.480364404	1.75	FS
147.58645163	3	000110	3	3	1.60596779758	153.313247354	1.75	FS
157.158371246	3	000110	3	3	0.966770357685	162.045705809	1.75	FS
167.324175	3	110000	1	1	0.883449991548	173.544702469	1.75	FO
177.256692121	3	000110	3	3	1.16674996403	182.477215121	1.75	FS
188.072680746	3	110000	1	1	0.916749475144	193.609587811	1.75	FO
197.921837552	3	000101	4	4	1.05007815239	202.275632797	1.75	FO
207.920921793	3	101000	2	2	1.51672600847	214.057888642	1.75	FS
218.186730157	3	110000	1	1	0.866748148159	222.64079485	1.75	FO
226.952890102	3	000110	3	3	1.0835256995	233.173789406	1.75	FS
236.936578532	3	110000	1	1	0.566864783095	241.440688412	1.75	FO
246.052833251	3	110000	1	1	0.766850535474	252.69057017	1.75	FO
259.069446815	3	110000	1	1	0.833510404256	263.440601808	1.75	FO
268.602776331	3	101000	2	1	1.15017746669	273.473238638	1.75	FS
277.786325916	3	000101	4	4	0.733505236001	283.623677311	1.75	FO
288.286027973	3	000110	3	3	1.06684620531	293.874106905	1.75	FS
297.736175128	3	000110	3	3	0.78349371219	301.99057031	1.75	FS
305.764048503	3	000110	3	3	2.0230970696	309.77397686	1.75	FS
