onset	duration	trial_type	category	response	response_time	onset_feedback	feedback_duration	object_classes
1.03802159213	3	110000	1	1	1.04106611315	6.8026101083	1.75	FO
12.3877696746	3	101000	2	2	1.36681337991	16.8586784075	1.75	FS
22.1770976479	3	000101	4	4	1.53339293123	28.0141395066	1.75	FO
32.2262678637	3	000110	3	3	1.11676819261	36.1969591107	1.75	FS
41.2422534149	3	000110	3	3	0.750135282557	45.3962254979	1.75	FS
49.6249009301	3	110000	1	1	0.750133047635	53.9142181478	1.75	FO
59.6574343946	3	110000	1	1	0.71679082118	65.9110336649	1.75	FO
70.1899372686	3	000110	3	3	0.883408645512	76.5270032923	1.75	FS
80.9890379923	3	000101	4	4	1.13341583916	85.9263322573	1.75	FO
90.0050447752	3	000110	3	3	0.850105530171	94.1424133514	1.75	FS
98.454556655	3	110000	1	1	0.683446359802	104.625025248	1.75	FO
108.520815914	3	000110	3	3	0.850182076214	114.974992632	1.75	FS
119.787483325	3	110000	1	1	0.766844948172	124.19185958	1.75	FO
128.870779945	3	110000	1	1	0.967694497485	134.091964202	1.75	FO
137.987429408	3	101000	2	2	1.9835032106	142.675029648	1.75	FS
146.787552887	3	000110	3	3	1.05016978415	151.758296376	1.75	FS
156.37087898	3	000110	3	3	0.766835729122	161.424888638	1.75	FS
165.520654999	3	000110	3	3	0.966845786264	169.958247487	1.75	FS
175.020758784	3	110000	1	1	1.20013884446	180.87488773	1.75	FO
186.363965253	3	000110	3	3	0.950093657155	191.034701896	1.75	FS
195.953881848	3	110000	1	1	0.666830281501	200.809824433	1.75	FO
205.195809803	3	000101	4	4	0.933433718532	210.199626489	1.75	FO
214.137425287	3	110000	1	1	0.70017641907	219.508067087	1.75	FO
226.094085142	3	101000	2	2	1.34992464126	230.06490825	1.75	FS
236.770431438	3	110000	1	1	0.639622354238	241.43066954	1.75	FO
246.542505821	3	110000	1	1	0.866625786239	253.262895424	1.75	FO
258.6248526	3	101000	2	2	1.25009826668	262.678815045	1.75	FS
268.224119267	3	000101	4	4	0.916771824352	273.97815281	1.75	FO
278.139995726	3	000110	3	3	0.783431693135	282.110755138	1.75	FS
286.322908079	3	000110	3	3	1.25007843176	292.659734966	1.75	FS
296.722096244	3	000110	3	3	0.766799691022	300.692508964	1.75	FS
305.037854252	3	110000	1	1	0.633482188379	309.242022939	1.75	FO
