onset	duration	trial_type	category	response	response_time	onset_feedback	feedback_duration	object_classes
1.03812998579	3	110000	1	1	0.616838173568	7.1449131105	1.75	FO
12.7710658757	3	101000	2	2	0.866829722772	17.2585596773	1.75	FS
21.5210427582	3	000110	3	3	1.00017767621	25.9085255249	1.75	FS
30.5542866482	3	000101	4	4	0.86682357674	35.4919521895	1.75	FO
41.5376373254	3	000110	3	3	0.633500626476	46.7086696773	1.75	FS
51.0876197953	3	110000	1	1	0.616842364043	55.4763873621	1.75	FO
59.4478636251	3	000110	3	3	2.09999511111	63.6350843473	1.75	FS
68.237560081	3	110000	1	1	0.533504397905	73.475143908	1.75	FO
79.5295703784	3	000110	3	3	0.816775037052	83.8502371111	1.75	FS
88.7875274651	3	110000	1	1	1.03351096299	94.2249601556	1.75	FO
99.328392296	3	101000	2	2	1.96667313863	104.58184909	1.75	FS
109.587403148	3	000110	3	3	1.18351215029	114.658283385	1.75	FS
120.243008259	3	110000	1	1	1.15007130795	124.913846872	1.75	FO
130.10891915	3	110000	1	1	1.03339893757	134.996216279	1.75	FO
139.024814048	3	000110	3	3	0.899958234915	143.095562984	1.75	FS
147.074374536	3	000101	4	4	1.41673005927	152.344672298	1.75	FO
156.573569266	3	000101	4	4	0.733454112185	161.84392318	1.75	FO
166.239306392	3	101000	2	1	1.03435995357	171.142922913	1.75	FS
175.921948181	3	110000	1	1	2.13333258836	180.909384293	1.75	FO
185.171157507	3	000110	3	3	0.950095333346	189.641900018	1.75	FS
194.137158214	3	110000	1	1	0.81684655452	198.643053796	1.75	FO
203.070471806	3	000110	3	3	0.966833773566	209.474650829	1.75	FS
213.537100944	3	000110	3	3	1.90018591748	218.457984465	1.75	FS
222.920413907	3	110000	1	1	0.850206101613	227.041520081	1.75	FO
233.903743632	3	110000	1	1	0.68351340743	237.991193294	1.75	FO
242.570561063	3	000101	4	3	1.11684306246	248.424247216	1.75	FO
252.570341482	3	101000	2	2	1.31684390055	259.491592647	1.75	FS
263.836950786	3	110000	1	1	1.13351585187	269.308036357	1.75	FO
273.397471187	3	110000	1	1	1.47303190769	278.724502695	1.75	FO
282.930275496	3	000110	3	3	2.83329445502	287.467352974	1.75	FS
291.553685454	3	000110	3	3	0.966844389441	298.341655434	1.75	FS
304.795007187	3	000110	3	3	1.01675604022	309.265759754	1.75	FS
