onset	duration	obj_class	response	response_time	image
1.08209730566	2.47	o	3	1.51772697368	object_108.jpg
6.8183487007	2.47	s	2	1.34957906661	grayavg_006.jpg
13.0611158681	2.47	o	3	1.56533861147	object_184.jpg
18.5763031335	2.47	o	3	1.13317865818	object_163.jpg
24.6497915238	2.47	f	2	0.86520633209	male_009.jpg
29.0785937878	2.47	f	2	1.0498602476	male_029.jpg
33.5379052366	2.47	o	3	1.08187744532	object_124.jpg
38.4458211868	2.47	o	3	0.979860848237	object_049.jpg
43.7700830692	2.47	s	1	0.681875210397	grayavg_036.jpg
48.7969230726	2.47	s	1	1.36240220475	grayavg_125.jpg
54.1289867846	2.47	o	3	1.11062551246	object_058.jpg
61.4456281455	2.47	o	3	1.27683797801	object_121.jpg
67.3097477473	2.47	f	2	0.861050217276	female_022.jpg
71.6810153246	2.47	o	3	0.993791948418	object_183.jpg
76.6226444981	2.47	f	2	0.756085200773	male_008.jpg
81.4729469807	2.47	f	2	0.731988842157	male_028.jpg
87.1489664189	2.47	s	1	0.816546795752	grayavg_095.jpg
92.2670090752	2.47	o	3	1.19866659031	object_176.jpg
97.163097265	2.47	f	2	0.72541398418	male_004.jpg
102.107941093	2.47	o	3	0.831728892918	object_306.jpg
107.487570906	2.47	f	2	0.691773395781	female_019.jpg
114.830848893	2.47	o	3	1.00736853427	object_179.jpg
120.116743329	2.47	f	2	0.691495706857	male_011.jpg
125.475369914	2.47	s	1	0.855177403832	grayavg_002.jpg
130.731792169	2.47	s	1	0.67683574309	grayavg_019.jpg
137.008313626	2.47	s	1	0.704376114842	grayavg_103.jpg
141.758621836	2.47	f	2	0.68315833437	female_009.jpg
146.758485226	2.47	s	1	0.881898118336	grayavg_074.jpg
151.301672699	2.47	o	3	0.760513137843	object_118.jpg
156.736837224	2.47	s	1	0.633167343894	grayavg_034.jpg
161.803215772	2.47	s	1	0.648497504571	grayavg_020.jpg
166.285782132	2.47	s	1	0.598469079171	grayavg_062.jpg
172.048160311	2.47	f	2	0.628638835383	male_005.jpg
178.418814961	2.47	f	2	0.665090116202	female_005.jpg
183.364964262	2.47	s	1	0.647464691741	grayavg_123.jpg
190.288038005	2.47	f	2	0.583161826433	female_003.jpg
195.297889536	2.47	f	2	0.647126380587	female_007.jpg
199.778674664	2.47	f	2	0.649867511094	male_001.jpg
204.972093101	2.47	f	2	0.616514110034	male_022.jpg
210.244295853	2.47	o	3	0.948539269656	object_116.jpg
216.238129986	2.47	f	2	0.648395815669	male_014.jpg
222.170970053	2.47	f	2	0.683234601046	female_021.jpg
229.205553778	2.47	f	2	0.583078296264	female_015.jpg
236.519455964	2.47	s	1	0.848556171245	grayavg_108.jpg
242.856456337	2.47	s	1	0.599903619036	grayavg_037.jpg
247.925987521	2.47	s	1	0.581845737377	grayavg_028.jpg
254.548532286	2.47	o	3	0.798476063298	object_044.jpg
260.634380627	2.47	s	1	0.616422198911	grayavg_001.jpg
266.808361398	2.47	s	1	0.649863041253	grayavg_107.jpg
271.354123499	2.47	f	2	0.681868505634	female_013.jpg
275.767072351	2.47	o	3	0.766508313207	object_102.jpg
281.599054628	2.47	o	3	0.931669248466	object_017.jpg
287.281676302	2.47	s	1	0.616454046534	grayavg_094.jpg
291.67996994	2.47	o	3	0.666560414801	object_107.jpg
296.391834996	2.47	o	3	0.658596553473	object_144.jpg
300.871686765	2.47	o	3	0.656418064307	object_123.jpg
307.52562267	2.47	s	1	0.607647061288	grayavg_057.jpg
