onset	duration	trial_type	category	response	response_time	onset_feedback	feedback_duration	object_classes
1.03774781432	3	000110	3	3	0.950102038108	5.96049525848	1.75	FS
10.2865601634	3	000110	3	3	0.916753944985	15.057054458	1.75	FS
19.669169685	3	101000	2	2	1.11675645927	23.9729884664	1.75	FS
30.6016172446	3	110000	1	1	0.683431274087	35.6055445594	1.75	FO
40.0342258583	3	110000	1	1	0.700138984144	45.4385526652	1.75	FO
49.3674374816	3	110000	1	1	0.600189130183	53.789662932	1.75	FO
59.6673599578	3	000110	3	3	0.716842783091	64.1715002884	1.75	FS
68.2840369377	3	000101	4	4	0.750165174624	74.0548254038	1.75	FO
78.3506719429	3	110000	1	1	1.33348707727	83.1883515922	1.75	FO
88.7840401504	3	000110	3	3	0.616904662464	92.904714426	1.75	FS
97.017505018	3	110000	1	1	0.916857589442	101.871408517	1.75	FO
106.001012978	3	101000	2	2	0.900161053989	110.988569497	1.75	FS
114.850543575	3	110000	1	1	0.766843551345	119.571545266	1.75	FO
124.444142202	3	000101	4	4	0.783459629646	130.448124832	1.75	FO
134.833864919	3	000110	3	3	0.766847462457	140.071323031	1.75	FS
144.275957978	3	000110	3	3	1.33340131218	150.079568772	1.75	FS
154.417370085	3	110000	1	1	0.683500836	158.571214498	1.75	FO
163.7836577	3	000110	3	3	0.86686129103	168.171236568	1.75	FS
172.423874543	3	110000	1	1	0.866786979909	177.29412565	1.75	FO
181.500360521	3	000101	4	4	0.772626967953	187.393362006	1.75	FO
193.488688646	3	101000	2	2	1.1166729291	198.043953072	1.75	FS
202.866836707	3	000110	3	3	0.737640677795	207.758155576	1.75	FS
212.253874445	3	000110	3	3	0.766794941816	216.874149089	1.75	FS
221.752875575	3	110000	1	1	1.5000624381	227.406869309	1.75	FO
232.768660263	3	000101	4	4	0.817656713353	239.572528631	1.75	FO
243.684399274	3	110000	1	1	0.883445801072	248.571777977	1.75	FO
253.216979812	3	000110	3	3	1.00010224763	258.420934504	1.75	FS
262.233336919	3	110000	1	1	1.01685158309	268.271408517	1.75	FO
272.71665952	3	101000	2	2	0.916843621187	277.504604077	1.75	FS
282.116643596	3	000110	3	3	1.00018298415	288.104157931	1.75	FS
294.583422753	3	110000	1	1	0.783514385208	298.704263531	1.75	FO
304.30004847	3	000110	3	3	0.750209314312	308.787817725	1.75	FS
