onset	duration	trial_type	category	response	response_time	onset_feedback	feedback_duration	object_classes
1.03806070325	3	110000	1	2	1.31690927199	7.3441202723	1.75	FO
12.2483357522	3	101000	2	2	1.43958044947	17.6418944307	1.75	FS
22.0141640907	3	000110	3	4	1.55701045803	26.4917669704	1.75	FS
30.9469052631	3	000101	4	4	1.71668550053	35.7674131768	1.75	FO
39.8876457762	3	110000	1	1	0.933524512195	46.5254109112	1.75	FO
51.3285249941	3	000110	3	2	1.71671790688	55.8152916083	1.75	FS
60.3388274208	3	110000	1	1	1.07361689824	64.8481614283	1.75	FO
69.0208652217	3	000110	3	3	0.933510264573	73.3087110233	1.75	FS
77.4932107293	3	110000	1	1	1.10006411429	81.56382557	1.75	FO
87.1922925958	3	000110	3	3	2.31667237037	91.8128189477	1.75	FS
95.8750022698	3	110000	1	1	1.23340648043	99.91214917	1.75	FO
106.45745395	3	110000	1	1	1.28340222012	111.494906755	1.75	FO
115.606794998	3	000101	4	4	2.26754042762	121.910571036	1.75	FO
126.039260297	3	101000	2	2	1.46674311959	132.193078171	1.75	FS
137.005244521	3	000110	3	3	1.48338489948	142.108905461	1.75	FS
148.137447637	3	000110	3	3	1.13341220742	152.758276541	1.75	FS
158.070919628	3	000110	3	3	1.93349462013	162.491655783	1.75	FS
167.137273871	3	110000	1	1	1.35002688889	173.091914755	1.75	FO
177.137281694	3	110000	1	1	0.766838802137	181.658327804	1.75	FO
186.720551355	3	110000	1	1	1.25017453336	191.508328852	1.75	FO
195.603879264	3	000101	4	4	1.85018263494	202.158221226	1.75	FO
206.455504261	3	101000	2	2	1.11684473865	211.674930752	1.75	FS
216.470431857	3	000110	3	3	1.78351885505	223.157989074	1.75	FS
228.370545977	3	000110	3	3	0.866823856106	232.808289601	1.75	FS
238.813520713	3	000110	3	3	1.1667502434	242.9840801	1.75	FS
247.92057119	3	000110	3	3	1.70017446351	251.90790729	1.75	FS
256.67879968	3	000110	3	3	1.15007857144	261.016203735	1.75	FS
265.953682661	3	110000	1	1	0.833486658221	271.974792886	1.75	FO
276.343878063	3	000101	4	4	1.3500917016	281.014480891	1.75	FO
285.453811308	3	101000	2	2	1.67292295529	289.730422721	1.75	FS
293.975919286	3	110000	1	1	0.983440074087	300.046442495	1.75	FO
304.108289461	3	110000	1	1	0.766808630706	308.112695049	1.75	FO
