onset	duration	trial_type	category	response	response_time	onset_feedback	feedback_duration	object_classes
1.03794867783	3	110000	1	1	1.22661232084	6.7715572789	1.75	FO
11.987685027	3	000110	3	3	0.716860103728	16.9089574234	1.75	FS
20.9959947423	3	110000	1	1	0.900104901601	27.5663406941	1.75	FO
32.0711196535	3	110000	1	1	1.08350754076	36.9421362212	1.75	FO
40.8777350194	3	000101	4	4	1.10008478731	45.4483729077	1.75	FO
49.6210906693	3	101000	2	2	0.689576468518	54.0487986602	1.75	FS
58.4541985085	3	000110	3	1	1.10554302293	62.3964529011	1.75	FS
66.3756728858	3	000110	3	3	1.20011034922	72.7792778132	1.75	FS
78.5580273471	3	000101	4	4	1.01676693546	82.5953505264	1.75	FO
86.6740446062	3	000110	3	3	0.700142336526	92.2944958088	1.75	FS
96.256951372	3	101000	2	2	0.900119707951	101.876972911	1.75	FS
106.32360733	3	000110	3	3	0.850114749221	110.459843639	1.75	FS
114.388496862	3	110000	1	1	0.850103853982	120.109054642	1.75	FO
124.42101133	3	110000	1	1	1.01676106879	128.891759148	1.75	FO
134.27083526	3	110000	1	1	0.800170133355	139.424916016	1.75	FO
144.204065321	3	000110	3	3	0.850248844476	150.34169231	1.75	FS
155.220820244	3	110000	1	1	0.750157911131	159.808125334	1.75	FO
163.753958394	3	000110	3	3	0.816836776741	167.841385148	1.75	FS
174.187260951	3	000110	3	3	0.583493991555	179.158133785	1.75	FS
184.520419774	3	000110	3	3	0.766866459284	188.591429637	1.75	FS
193.487174767	3	000101	4	4	1.21683342436	198.37621206	1.75	FO
202.331387648	3	110000	1	1	0.889132836715	208.674508352	1.75	FO
215.163907145	3	110000	1	1	0.900070539692	220.200814908	1.75	FO
225.370215768	3	101000	2	2	0.78349538838	230.524663889	1.75	FS
236.145335511	3	000101	4	4	0.933453274089	242.632617833	1.75	FO
246.753612261	3	000110	3	3	0.900199327009	250.841056335	1.75	FS
255.643796628	3	110000	1	1	0.766774268797	260.48092062	1.75	FO
265.203432839	3	101000	2	2	0.989633878049	269.263760338	1.75	FS
275.036759421	3	000110	3	3	1.00552695943	279.046356171	1.75	FS
284.041460297	3	110000	1	1	0.616797106895	289.462183043	1.75	FO
293.974220187	3	110000	1	1	0.766809189436	298.661342154	1.75	FO
304.023171939	3	000110	3	3	0.833441121707	309.893949371	1.75	FS
