onset	duration	trial_type	category	response	response_time	onset_feedback	feedback_duration	object_classes
1.03761288097	3	000110	3	3	1.10008366985	6.0772436162	1.75	FS
10.0200131581	3	000110	3	3	0.916761208475	14.4073176898	1.75	FS
18.1863535729	3	110000	1	1	0.700164965099	23.057089658	1.75	FO
27.5529359178	3	000101	4	4	1.15016182224	33.7572962485	1.75	FO
37.7196087771	3	110000	1	3	0.716833843406	42.2910643671	1.75	FO
47.636253211	3	000110	3	3	0.800177955578	52.6071570549	1.75	FS
58.0207680026	3	110000	1	1	0.750028565086	63.7402574908	1.75	FO
68.5361714967	3	101000	2	2	0.733514175685	72.8236761935	1.75	FS
78.3361399284	3	101000	2	2	0.750212387331	84.3238780348	1.75	FS
88.5194487009	3	000110	3	3	0.650191295263	92.9237087395	1.75	FS
98.202975797	3	110000	1	1	0.783510753463	103.773533508	1.75	FO
108.395477358	3	000110	3	3	0.750139473035	112.966205761	1.75	FS
117.602715708	3	000101	4	4	0.866859335474	121.890481891	1.75	FO
126.510735303	3	110000	1	1	0.733445451864	131.748004285	1.75	FO
136.019489069	3	000110	3	3	0.866682497359	141.173644416	1.75	FS
147.142412793	3	110000	1	1	0.583468010602	152.329587699	1.75	FO
156.591714589	3	110000	1	1	0.75011041906	160.978847312	1.75	FO
164.874335984	3	000110	3	3	0.716796967212	170.828400537	1.75	FS
176.673367705	3	000110	3	3	1.93334152804	181.760734116	1.75	FS
186.105960674	3	110000	1	1	2.21667502434	191.193299707	1.75	FO
196.471839857	3	110000	1	1	2.78331687407	202.075619108	1.75	FO
206.039320081	3	000101	4	4	1.31674807832	212.991360634	1.75	FO
216.670231552	3	101000	2	2	1.81676525927	221.690652024	1.75	FS
225.652765645	3	000110	3	3	0.433458442345	230.556810153	1.75	FS
234.36899606	3	000110	3	3	0.666862408489	238.823214682	1.75	FS
244.885856722	3	110000	1	1	1.50015574605	249.773216987	1.75	FO
254.452256362	3	110000	1	1	1.30018563812	259.040048945	1.75	FO
264.735591255	3	000101	4	4	0.816843481505	269.556805683	1.75	FO
274.8858313	3	000110	3	3	1.61681973547	279.656789899	1.75	FS
286.036061008	3	000110	3	3	1.05016224129	290.323366797	1.75	FS
294.835859865	3	110000	1	1	1.73356362331	299.989819376	1.75	FO
304.685553611	3	101000	2	NA	3	309.239760081	1.75	FS
